,상권코드명,link
250,양재역,77
251,매봉역,78
252,경찰병원역 3번,86
253,오금역,87
254,당고개역 5번,88
255,노원역,90
256,창동역,91
257,쌍문역둘리상점가,92
258,수유역,93
259,미아역 5번,94
260,미아사거리역,95
261,길음역 8번,96
262,성신여대입구역 7번,97
263,한성대입구역 3번,98
264,회현역,102
265,"숙대입구역(남영역, 남영동)",103
266,삼각지역 14번,104
267,방화역 2번,110
268,송정역 3번,113
269,우장산역 1번,116
270,화곡역 2번,117
271,까치산역 3번,118
272,신정역 5번,119
273,목동역 8번출구,120
274,양평역,122
275,영등포시장역 1번,123
276,신길역 1번,124
277,마포역,127
278,청구역 3번,132
279,신금호역 골목형상점가,133
280,마장역 3번,135
281,군자역 4번,138
282,아차산역 1번,139
283,천호역 6번,141
284,굽은다리역 2번,144
285,명일역,145
286,둔촌역전통시장,148
287,방이역 2번,150
288,거여역 1번(거여공원),152
289,응암역 3번,156
290,역촌역 3번,157
291,구산역 2번,159
292,새절역 2번,160
293,증산역 4번,161
294,마포구청역 1번,164
295,망원역,165
296,상수역 3번,166
297,광흥창역 1번,167
298,대흥역 2번,168
299,효창공원앞역 5번,169
300,창신역 4번,174
301,보문역 4번,175
302,안암역 3번,176
303,고려대역 4번,177
304,월곡역,178
305,상월곡역 2번,179
306,돌곶이역 8번,180
307,석계역 1번,181
308,태릉입구역,182
309,공릉역,191
310,먹골역 1번,192
311,중화역 1번,193
312,상봉역 7번,194
313,면목역 1번,195
314,사가정역 4번,196
315,어린이대공원역 3번,199
316,청담역 12번,201
317,강남구청역 4번,202
318,논현역 5번,204
319,내방역 6번,206
320,이수역 9번,207
321,남성역골목시장,208
322,숭실대입구역 4번,209
323,상도역 1번,210
324,장승배기역 5번,211
325,신대방삼거리역 3번,212
326,보라매역 6번,213
327,신풍역 2번,214
328,남구로역 5번,215
329,온수역 1번,220
330,암사역 4번(삼성광나루아파트),230
331,강동구청역,231
332,석촌역 6번,233
333,문정역 2번,235
334,신내역 2번,244
335,서울역,0
336,동대문역,5
337,신설동역,6
338,동묘앞역(동묘),9
339,뚝섬역상점가,18
340,건대입구역(건대),20
341,역삼역,29
342,방배역 1번,33
343,사당역 11번(사당역먹자골목),34
344,봉천역 1번(관악초등학교),37
345,신림역 1번,38
346,신대방역 2번,39
347,대림역 11번,41
348,영등포구청역,44
349,당산역,45
350,아현역 4번,50
351,충정로역 6번,51
352,신정네거리역,56
353,연신내역 4번,60
354,불광역 3번,61
355,홍제역 2번,63
356,경찰병원역,86
357,창동역상점가,91
